Title,Views,Length,Rating,From,Link
Puppy vs. cat,3879266,1:09,4,Sanshey,http://www.youtube.com/watch?v=7bcV-TL9mho
CATS VS DOGS,4019679,2:57,3,momofbeans,http://www.youtube.com/watch?v=XEQXIDbz6Oo
Beatboxing Parrot!,5089507,:26,4,arikp,http://www.youtube.com/watch?v=UnFV-fvgOu0
Lion Vs Tiger,5624357,4:30,4,errol1989,http://www.youtube.com/watch?v=2cyu7tUEgs4
Funny Cats (again),6575608,3:34,3,imba1337n00b,http://www.youtube.com/watch?v=Zu333ZX_IQs
Funny Cats ,6782983,2:45,4,kipar7,http://www.youtube.com/watch?v=nTasT5h0LEg
Sweet Tired Cat,6873502,:27,4,VideoBooN,http://www.youtube.com/watch?v=2GWPOPSXGYI
BIG spider-tarantula on my hand,6884436,:38,4,JCVdude,http://www.youtube.com/watch?v=PadauuWF94w
Orca attack on Great White,6983834,1:09,4,gazadub,http://www.youtube.com/watch?v=W8GaDuCvYbE
Dog Attack Shark,7676685,:47,4,crappyvideos10,http://www.youtube.com/watch?v=2jkExrrm_sQ
Yay! Funny Animal Videos!,8663556,5:36,4,Twsmith24,http://www.youtube.com/watch?v=Kxa0mnDj0bs
funny animal clips!,9560866,9:49,4,NsXDeath,http://www.youtube.com/watch?v=Zi9GOvR3Ynw
"""NORA: Practice Makes Purrfect""",9690733,2:48,4,burnellyow,http://www.youtube.com/watch?v=TZ860P4iTaM
The Mean Kitty Song,10035821,3:30,5,smpfilms,http://www.youtube.com/watch?v=Qit3ALTelOo
Talking Cat,10139307,:37,4,Pl4stoc,http://www.youtube.com/watch?v=7tRWRSfcDuQ
Funny Cats 3,10399720,1:53,4,Sanchey,http://www.youtube.com/watch?v=kkT7A3jegBc
Otters holding hands,10814293,1:40,5,cynthiaholmes,http://www.youtube.com/watch?v=epUk3T2Kfno
The two talking casts,11403459,:55,5,,http://www.youtube.com/watch?v=z3U0udLH974
Battle at Kruger,33904548,8:23,5,Jason275,http://www.youtube.com/watch?v=LU8DDYz68kM
The Killer tortoise,5141160,2:16,4,salvelio,http://www.youtube.com/watch?v=Ul0gfCyeiyM
"Re: Cat Talking, Translation",5742628,1:03,5,klaatu42,http://www.youtube.com/watch?v=1JynBEX_kg8
Jaguar vs. Anacondaâ€¦,6023491,3:12,4,DIMSuM3k,http://www.youtube.com/watch?v=DJmP_MBuD7w
Kitten and his box.,6210101,1:36,5,auroral,http://www.youtube.com/watch?v=vdQj2ohqCBk
christian the lion ,7355178,1:17,5,johnluvbaebo,http://www.youtube.com/watch?v=zVNTdWbVBgc
Christian the Lion-the full story,10157205,2:28,5,TadManly,http://www.youtube.com/watch?v=adYbFQFXG0U